"date","price"
05,11,11949.00
05,10,12138.00
05,09,12634.00
05,08,13149.00
05,07,13379.00
05,06,13614.00
05,05,13852.00
05,04,14094.00
05,03,14341.00
05,02,14592.00
05,01,14847.00
05,12,15107.00
