"date","price"
05,11,13535.00
05,10,13674.00
05,09,14001.00
05,08,14335.00
05,07,14884.00
05,06,15455.00
05,05,16046.00
05,04,16661.00
05,03,17299.00
05,02,17962.00
05,01,18650.00
05,12,19364.00
