"date","month","price"
01,05,119.00
02,06,148.84
03,07,148.50
04,08,156.52
05,09,184.76
06,10,186.12
07,11,212.00
08,12,164.31
09,01,196.98
10,02,191.94
11,03,231.64
12,04,227.08
13,05,229.86
14,06,382.89
15,07,376.47
16,08,377.77
17,09,325.00
18,10,781.42
